,r value,p-value,N
Disk (0 C:) - Current Disk Queue Length.2 & Label.5,0.2590,0.0000,2162
Disk (1 D:) - Current Disk Queue Length.2 & Label.2,-0.0008,0.9703,2162
Disk (1 D:) - Current Disk Queue Length.2 & Memory used  (%).3,0.0057,0.7922,2162
Disk (1 D:) - Current Disk Queue Length.2 & CPU utilization (%).3,-0.0024,0.9114,2162
Disk (1 D:) - Current Disk Queue Length.2 & Disk (0 C:) - Current Disk Queue Length.3,0.1629,0.0000,2162
Disk (1 D:) - Current Disk Queue Length.2 & Disk (1 D:) - Current Disk Queue Length.3,nan,nan,2162
Disk (1 D:) - Current Disk Queue Length.2 & Label.3,-0.0009,0.9657,2162
Disk (1 D:) - Current Disk Queue Length.2 & Memory used  (%).4,0.0081,0.7060,2162
Disk (1 D:) - Current Disk Queue Length.2 & CPU utilization (%).4,-0.0021,0.9241,2162
Disk (1 D:) - Current Disk Queue Length.2 & Disk (0 C:) - Current Disk Queue Length.4,-0.0030,0.8908,2162
Disk (1 D:) - Current Disk Queue Length.2 & Disk (1 D:) - Current Disk Queue Length.4,-0.0009,0.9657,2162
Disk (1 D:) - Current Disk Queue Length.2 & Label.4,-0.0008,0.9703,2162
Disk (1 D:) - Current Disk Queue Length.2 & Memory used  (%).5,-0.0153,0.4784,2162
Disk (1 D:) - Current Disk Queue Length.2 & CPU utilization (%).5,-0.0132,0.5401,2162
Disk (1 D:) - Current Disk Queue Length.2 & Disk (0 C:) - Current Disk Queue Length.5,-0.0030,0.8881,2162
Disk (1 D:) - Current Disk Queue Length.2 & Disk (1 D:) - Current Disk Queue Length.5,-0.0021,0.9230,2162
Disk (1 D:) - Current Disk Queue Length.2 & Label.5,-0.0013,0.9514,2162
Label.2 & Memory used  (%).3,0.0010,0.9642,2162
Label.2 & CPU utilization (%).3,0.0489,0.0229,2162
Label.2 & Disk (0 C:) - Current Disk Queue Length.3,0.2855,0.0000,2162
Label.2 & Disk (1 D:) - Current Disk Queue Length.3,nan,nan,2162
Label.2 & Label.3,0.5767,0.0000,2162
Label.2 & Memory used  (%).4,-0.0043,0.8427,2162
Label.2 & CPU utilization (%).4,0.0511,0.0175,2162
Label.2 & Disk (0 C:) - Current Disk Queue Length.4,0.2747,0.0000,2162
Label.2 & Disk (1 D:) - Current Disk Queue Length.4,-0.0016,0.9405,2162
Label.2 & Label.4,0.6662,0.0000,2162
Label.2 & Memory used  (%).5,-0.0339,0.1149,2162
Label.2 & CPU utilization (%).5,-0.0012,0.9546,2162
Label.2 & Disk (0 C:) - Current Disk Queue Length.5,0.2671,0.0000,2162
Label.2 & Disk (1 D:) - Current Disk Queue Length.5,-0.0036,0.8671,2162
Label.2 & Label.5,0.4070,0.0000,2162
Memory used  (%).3 & CPU utilization (%).3,0.5515,0.0000,2162
Memory used  (%).3 & Disk (0 C:) - Current Disk Queue Length.3,-0.0927,0.0000,2162
Memory used  (%).3 & Disk (1 D:) - Current Disk Queue Length.3,nan,nan,2162
Memory used  (%).3 & Label.3,-0.0188,0.3832,2162
Memory used  (%).3 & Memory used  (%).4,0.7072,0.0000,2162
Memory used  (%).3 & CPU utilization (%).4,0.0473,0.0278,2162
